FK_ZAEHLER;FK_STANDORT;DATUM;VELO_IN;VELO_OUT;FUSS_IN;FUSS_OUT;OST;NORD
ECO07091438;3919;2019-01-17T17:00;23;40;;;2682873;1245891
ECO07091438;3919;2019-01-17T18:00;24;46;;;2682873;1245891
ECO07091438;3919;2019-01-17T19:00;10;22;;;2682873;1245891
ECO07091438;3919;2019-01-17T20:00;13;15;;;2682873;1245891
ECO07091438;3919;2019-01-17T21:00;5;10;;;2682873;1245891
ECO07091438;3919;2019-01-17T22:00;9;10;;;2682873;1245891
ECO07091438;3919;2019-01-17T23:00;2;6;;;2682873;1245891
ECO07091438;3919;2019-01-18T00:00;0;2;;;2682873;1245891
ECO07091438;3919;2019-01-18T01:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-18T02:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-18T03:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-18T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-18T05:00;1;10;;;2682873;1245891
ECO07091438;3919;2019-01-18T06:00;19;19;;;2682873;1245891
ECO07091438;3919;2019-01-18T07:00;52;9;;;2682873;1245891
ECO07091438;3919;2019-01-18T08:00;93;12;;;2682873;1245891
ECO07091438;3919;2019-01-18T09:00;32;11;;;2682873;1245891
ECO07091438;3919;2019-01-18T10:00;19;7;;;2682873;1245891
ECO07091438;3919;2019-01-18T11:00;14;14;;;2682873;1245891
ECO07091438;3919;2019-01-18T12:00;15;20;;;2682873;1245891
ECO07091438;3919;2019-01-18T13:00;26;13;;;2682873;1245891
ECO07091438;3919;2019-01-18T14:00;14;11;;;2682873;1245891
ECO07091438;3919;2019-01-18T15:00;16;18;;;2682873;1245891
ECO07091438;3919;2019-01-18T16:00;21;24;;;2682873;1245891
ECO07091438;3919;2019-01-18T17:00;16;39;;;2682873;1245891
ECO07091438;3919;2019-01-18T18:00;11;37;;;2682873;1245891
ECO07091438;3919;2019-01-18T19:00;12;18;;;2682873;1245891
ECO07091438;3919;2019-01-18T20:00;11;6;;;2682873;1245891
ECO07091438;3919;2019-01-18T21:00;2;4;;;2682873;1245891
ECO07091438;3919;2019-01-18T22:00;7;8;;;2682873;1245891
ECO07091438;3919;2019-01-18T23:00;3;6;;;2682873;1245891
ECO07091438;3919;2019-01-19T00:00;1;1;;;2682873;1245891
ECO07091438;3919;2019-01-19T01:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-19T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-19T03:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-19T04:00;3;0;;;2682873;1245891
ECO07091438;3919;2019-01-19T05:00;2;1;;;2682873;1245891
ECO07091438;3919;2019-01-19T06:00;8;13;;;2682873;1245891
ECO07091438;3919;2019-01-19T07:00;9;35;;;2682873;1245891
ECO07091438;3919;2019-01-19T08:00;7;12;;;2682873;1245891
ECO07091438;3919;2019-01-19T09:00;42;13;;;2682873;1245891
ECO07091438;3919;2019-01-19T10:00;22;2;;;2682873;1245891
ECO07091438;3919;2019-01-19T11:00;34;11;;;2682873;1245891
ECO07091438;3919;2019-01-19T12:00;23;9;;;2682873;1245891
ECO07091438;3919;2019-01-19T13:00;37;19;;;2682873;1245891
ECO07091438;3919;2019-01-19T14:00;23;25;;;2682873;1245891
ECO07091438;3919;2019-01-19T15:00;20;16;;;2682873;1245891
ECO07091438;3919;2019-01-19T16:00;18;16;;;2682873;1245891
ECO07091438;3919;2019-01-19T17:00;12;13;;;2682873;1245891
ECO07091438;3919;2019-01-19T18:00;14;6;;;2682873;1245891
ECO07091438;3919;2019-01-19T19:00;10;5;;;2682873;1245891
ECO07091438;3919;2019-01-19T20:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-19T21:00;4;3;;;2682873;1245891
ECO07091438;3919;2019-01-19T22:00;5;3;;;2682873;1245891
